,title,director,rating,airdate,season_number,episode_number,storyline,genres,cast,character
30,Two Swords,"['D.B. Weiss', 'David Benioff']",9.1,Episode aired 6 April 2014,Season 4,Episode 1,"Tywin Lannister gives his son Jaime a new sword and wants him to return to rule at Casterly Rock in his stead. Jaime wants to rejoin the King's guard. Cersei hasn't forgiven her brother for leaving her. Prince Oberyn Martell arrives in King's Landing for the royal wedding. He and his lover, Ellaria Sand, take their pleasure at Littlefinger's establishment. His hatred of the Lannisters becomes apparent as he blames them for the death of his sister. Daenerys' army is marching toward the slave city of Meereen. She comes to realize that her dragons can never be tamed. Sansa still grieves over the loss of her family at the Red wedding. At Castle Black, Jon Snow faces an enquiry before the commanders of the Watch. Arya and Sandor Clegane come across someone from Arya's past.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Charles Dance', 'Natalie Dormer', 'Jack Gleeson', 'Sophie Turner', 'Maisie Williams', 'John Bradley', 'Rose Leslie', 'Kristofer Hivju', 'Rory McCann', 'Gwendoline Christie']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', 'Tywin Lannister', 'Margaery Tyrell', 'Joffrey Baratheon', 'Sansa Stark', 'Arya Stark', 'Samwell Tarly', 'Ygritte', 'Tormund Giantsbane', ""Sandor 'The Hound' Clegane"", 'Brienne of Tarth']"
31,The Lion and the Rose,['Alex Graves'],9.7,Episode aired 13 April 2014,Season 4,Episode 2,"Sansa still hasn't recovered from the death of her family and refuses to eat despite Tyrion's requests that she do so. She receives a gift from an unexpected source. It's time for the royal wedding and King Joffrey is on his worst behavior with Tyrion the object of his dislike. He adores the sword given to him by his grandfather but uses it to chop up a book given to him by Tyrion. At the reception after the wedding ceremony, a drunken Joffrey ridicules his uncle and orders him to become his cup bearer. Tyrion does as he's told but Joffrey gets his comeuppance. Meanwhile, Lord Bolton returns home to find what his bastard son did to Theon Greyjoy.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Charles Dance', 'Natalie Dormer', 'Liam Cunningham', 'Stephen Dillane', 'Carice van Houten', 'Alfie Allen', 'Jack Gleeson', 'Isaac Hempstead Wright', 'Sophie Turner', 'Gwendoline Christie', 'Sibel Kekilli', 'Iwan Rheon']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Tywin Lannister', 'Margaery Tyrell', 'Davos Seaworth', 'Stannis Baratheon', 'Melisandre', 'Theon Greyjoy', 'Joffrey Baratheon', 'Bran Stark', 'Sansa Stark', 'Brienne of Tarth', 'Shae', 'Ramsay Snow']"
32,Breaker of Chains,['Alex Graves'],8.9,Episode aired 20 April 2014,Season 4,Episode 3,"In the aftermath of the Purple Wedding, the players in King's Landing reassess their situation. In the meantime, the wildling threat to the Night's Watch is becoming imminent, Arya and the Hound continue their journey to the Vale, and Daenerys reaches Meereen.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Aidan Gillen', 'Charles Dance', 'Natalie Dormer', 'Liam Cunningham', 'Stephen Dillane', 'Jack Gleeson', 'Sophie Turner', 'Maisie Williams', 'Rory McCann', 'John Bradley']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', ""Petyr 'Littlefinger' Baelish"", 'Tywin Lannister', 'Margaery Tyrell', 'Davos Seaworth', 'Stannis Baratheon', 'Joffrey Baratheon', 'Sansa Stark', 'Arya Stark', ""Sandor 'The Hound' Clegane"", 'Samwell Tarly']"
33,Oathkeeper,['Michelle MacLaren'],8.8,Episode aired 27 April 2014,Season 4,Episode 4,"Daenerys easily conquers Meereen and shows just what she's prepared to do to those who defy her. Bronn tells Jaime he is certain Tyrion had nothing to do with Joffrey's death. He visits his brother in his cell and comes away believing the same, but Cersei won't even discuss the possibility with him. Jaime asks Brienne to find Sansa and gives her his new sword, which she names Oathkeeper. Olenna counsels Margaery as to the next steps needed for her to remain Queen. At Castle Black, Jon Snow receives permission to take volunteers 60 miles north to stop their former members who rebelled from talking to Mance Rayder's army. Bran is taken prisoner by Karl Tanner and the mutineers who have taken over Craster's Keep. The identity of Joffrey's killers is revealed.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Aidan Gillen', 'Natalie Dormer', 'John Bradley', 'Isaac Hempstead Wright', 'Sophie Turner', 'Gwendoline Christie', 'Jerome Flynn', 'Iain Glen', 'Diana Rigg', 'Michiel Huisman']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', ""Petyr 'Littlefinger' Baelish"", 'Margaery Tyrell', 'Samwell Tarly', 'Bran Stark', 'Sansa Stark', 'Brienne of Tarth', 'Bronn', 'Jorah Mormont', 'Olenna Tyrell', 'Daario Naharis']"
34,First of His Name,['Michelle MacLaren'],8.7,Episode aired 4 May 2014,Season 4,Episode 5,"Tommen is crowned king, the first of his name. Cersei can see that her newly-crowned son and Margaery are exchanging friendly smiles. Cersei is surprisingly frank with her about Joffrey and asks if she is still interested in being queen. Tywin tells Cersei of the Lannisters dire financial situation and needs the Tyrell family to be part of the crown. Jorah Mormont advises Daenerys of Joffrey's death and they contemplate attacking King's Landing by sea. There is other news as well. The freed slaves of Yunkai have been re-enslaved by their old masters and a coup in Astapor has enthroned a butcher who has declared himself emperor. Daenerys decides to rule over the territories she has conquered. Sansa and Petyr Baelish arrive at the Eyrie where he introduces Sansa as his niece Alayne though her aunt, Lady Arryn, is aware of her true identity. Brienne and Pod continue their journey but Pod proves to be a not very useful squire.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Aidan Gillen', 'Charles Dance', 'Natalie Dormer', 'Isaac Hempstead Wright', 'Sophie Turner', 'Maisie Williams', 'Rory McCann', 'Gwendoline Christie', 'Conleth Hill', 'Iain Glen', 'Pedro Pascal']","['Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', ""Petyr 'Littlefinger' Baelish"", 'Tywin Lannister', 'Margaery Tyrell', 'Bran Stark', 'Sansa Stark', 'Arya Stark', ""Sandor 'The Hound' Clegane"", 'Brienne of Tarth', 'Lord Varys', 'Jorah Mormont', 'Oberyn Martell']"
35,The Laws of Gods and Men,['Alik Sakharov'],9.7,Episode aired 11 May 2014,Season 4,Episode 6,"At the Dreadford, Yara Greyjoy and her men invade the castle to rescue her brother, but she discovers that Theon is completely brainwashed and telling that he is Reek. Yara leaves him behind and returns home. Daenerys listens to the petitions of supplicants and takes decisions. Stannis and Davos go to Braavos seeking a loan. Tyrion's trial begins and Jaime makes a deal with his father to save his brother. But when Shae is summoned to testify, Tyrion is totally devastated.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Charles Dance', 'Natalie Dormer', 'Liam Cunningham', 'Stephen Dillane', 'Alfie Allen', 'Iwan Rheon', 'Conleth Hill', 'Sibel Kekilli', 'Iain Glen', 'Pedro Pascal', 'Julian Glover']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Tywin Lannister', 'Margaery Tyrell', 'Davos Seaworth', 'Stannis Baratheon', 'Theon Greyjoy', 'Ramsay Snow', 'Lord Varys', 'Shae', 'Jorah Mormont', 'Oberyn Martell', 'Grand Maester Pycelle']"
36,Mockingbird,['Alik Sakharov'],9.1,Episode aired 18 May 2014,Season 4,Episode 7,"Having demanded a trial by combat, Tyrion must now find someone to fight for him. Jaime would gladly do it but admits that he cannot wield a sword effectively with his left hand. Bronn, who has fought for him once before, has accepted the Queen Regent's offer of an arranged marriage with a noblewoman and so is not available. Tyrion finds a champion in someone unexpected. Brienne and Pod stop at an inn and meet Arya's old friend, Hotpie, who tells them she's alive and probably heading to the Eyrie. Daenerys takes Daario into her bed but seeks advice on ruling from her most trusted source. At the Eyrie, Peter Baelish has shocking news for both Sansa and his wife Lysa.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Aidan Gillen', 'Carice van Houten', 'John Bradley', 'Sophie Turner', 'Maisie Williams', 'Rory McCann', 'Gwendoline Christie', 'Jerome Flynn', 'Iain Glen', 'Pedro Pascal']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', ""Petyr 'Littlefinger' Baelish"", 'Melisandre', 'Samwell Tarly', 'Sansa Stark', 'Arya Stark', ""Sandor 'The Hound' Clegane"", 'Brienne of Tarth', 'Bronn', 'Jorah Mormont', 'Oberyn Martell']"
37,The Mountain and the Viper,['Alex Graves'],9.7,Episode aired 1 June 2014,Season 4,Episode 8,"Theon Greyjoy is sent by Ramsey to Moat Cailin to convince an ironborn garrison to surrender, promising that they will return to their land. The Wildlings slaughter Mole's Town but Ygritte spares Gilly and her baby. When Sam hears the news in Castle Black, he becomes worried with Gilly, but his friends comfort. A boy gives a scroll to Barristan with the pardon of Jorah signed by Robert Baratheon and Daenerys expels him from the city. Littlefinger is explaining the death of his wife Lysa to a court and Sansa is asked to testify as a witness, and she lies to protect him. Oberyn fights against the Mountain and wants him to confess that he raped and killed his sister Elia Martell.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Aidan Gillen', 'Charles Dance', 'Alfie Allen', 'John Bradley', 'Sophie Turner', 'Maisie Williams', 'Rose Leslie', 'Kristofer Hivju', 'Hannah Murray', 'Iwan Rheon']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', ""Petyr 'Littlefinger' Baelish"", 'Tywin Lannister', 'Theon Greyjoy', 'Samwell Tarly', 'Sansa Stark', 'Arya Stark', 'Ygritte', 'Tormund Giantsbane', 'Gilly', 'Ramsay Snow']"
38,The Watchers on the Wall,['Neil Marshall'],9.6,Episode aired 8 June 2014,Season 4,Episode 9,"Jon and Samwell are on duty on top of the Wall. Ygritte wants to be the one who kills Jon Snow. A petrified Gilly returns with her baby to Castle Rock, reporting about the wildling attack at Mole's Town. The Nights Watch prepare for battle. The wildling army attack the wall in the night, with giants riding mammoths. Jon sets out on a dangerous journey to help set things right.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Kit Harington', 'John Bradley', 'Hannah Murray', 'Rose Leslie', 'Kristofer Hivju', 'Peter Vaughan', 'Owen Teale', 'Dominic Carter', 'Mark Stanley', 'Ben Crompton', 'Yuri Kolokolnikov', 'Josef Altin', ""Brenock O'Connor"", 'Joseph Gatt', 'Ian Whyte']","['Jon Snow', 'Samwell Tarly', 'Gilly', 'Ygritte', 'Tormund Giantsbane', 'Maester Aemon', 'Alliser Thorne', 'Janos Slynt', 'Grenn', 'Eddison Tollett', 'Styr', 'Pypar', 'Olly', 'Thenn Warg', 'Dongo the Giant']"
39,The Children,['Alex Graves'],9.7,Episode aired 15 June 2014,Season 4,Episode 10,"Jon Snow meets Mance and they discuss a peaceful alternative to the battle. Out of the blue, Stannis and his army put the Wildlings under siege and Mance surrenders. Jon asks for mercy for Mance to Stannis since he was well treated by him when he was his prisoner. Tywin wants to force Cersei to marry Loras and they have an argument. Cersei discloses her affair to her father and tells that she will make it public if he insists in marrying her. Jaime and Lord Varys help Tyrion to escape, but he kills Shae that is in Tywin's bed with his hands and his father with a crossbow. Then he leaves king's Landing with Varys in a ship. Daenerys learns that her black dragon killed a three year-old girl and she locks them up in the dungeons. Brienne and Pod meet Arya and The Hound and Brienne has a deadly sword fight with The Hound to keep Arya. Bran, Jojen, his sister and Hodor reach their target but they are attacked by Wights.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Charles Dance', 'Liam Cunningham', 'Stephen Dillane', 'Carice van Houten', 'John Bradley', 'Isaac Hempstead Wright', 'Maisie Williams', 'Rory McCann', 'Rose Leslie', 'Kristofer Hivju']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', 'Tywin Lannister', 'Davos Seaworth', 'Stannis Baratheon', 'Melisandre', 'Samwell Tarly', 'Bran Stark', 'Arya Stark', ""Sandor 'The Hound' Clegane"", 'Ygritte', 'Tormund Giantsbane']"
40,The Wars to Come,['Michael Slovis'],8.5,Episode aired 12 April 2015,Season 5,Episode 1,"Cersei comes to the funeral of her father Tywin Lannister and blames her brother Jaime for his death. Tyrion arrives at his destination transported in a wooden box and Lord Varys discloses that Jaime had asked him to save his brother. White Rat is murdered in a brothel and Daenerys asks Grey Worm to find the killer. She visits her dragons in the dungeons but they do not respect her. Jon Snow is training a teenager, but Melisandre brings him to talk to Stannis Baratheon. He assigns Snow to convince Mance Rayder to bend his knees for him and make his people fight with his army. Will Mance accept the deal?","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Aidan Gillen', 'Charles Dance', 'Natalie Dormer', 'Stephen Dillane', 'Liam Cunningham', 'Carice van Houten', 'John Bradley', 'Sophie Turner', 'Kristofer Hivju', 'Hannah Murray']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', ""Petyr 'Littlefinger' Baelish"", 'Tywin Lannister', 'Margaery Tyrell', 'Stannis Baratheon', 'Davos Seaworth', 'Melisandre', 'Samwell Tarly', 'Sansa Stark', 'Tormund Giantsbane', 'Gilly']"
41,The House of Black and White,['Michael Slovis'],8.5,Episode aired 19 April 2015,Season 5,Episode 2,"Arya Stark sails to Braavos and arrives at the House of Black and White to seek out Jaqen H'ghar; however she is not welcomed to enter in the house and she throws her coin away into the sea. Brienne and Podrick are eating in a tavern and see Sansa and Little Finger, but Sansa refuses to follow Brienne. The men that are escorting Little Finger and Sansa unsuccessfully hunt Brienne and Podrick down on the road. Cersei shows to Jaime that their daughter Myrcella is in danger and Jaime seeks out Bronn and makes an offer for him to travel with him to Dorn. In Meereen, the Son of Harpy is captured and Daenerys has a meeting with her leaders to decide his fate. Barristan advises her to give a fair trial to the man; however Mossador disobeys her order and kills the Son of Harpy. Daenerys sentences him to death and there is a riot in Meereen. Jon Snow is invited by Stannis Baratheon to serve him; in return, he would give the North to Jon and he would be Jon Stark, Lord of Winterfell. But Jon ...","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Aidan Gillen', 'Stephen Dillane', 'Liam Cunningham', 'Indira Varma', 'Maisie Williams', 'Sophie Turner', 'Conleth Hill', 'Jerome Flynn', 'John Bradley', 'Hannah Murray']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', ""Petyr 'Littlefinger' Baelish"", 'Stannis Baratheon', 'Davos Seaworth', 'Ellaria Sand', 'Arya Stark', 'Sansa Stark', 'Lord Varys', 'Bronn', 'Samwell Tarly', 'Gilly']"
42,High Sparrow,['Mark Mylod'],8.5,Episode aired 26 April 2015,Season 5,Episode 3,"Sansa and Littlefinger finally approach their destination where she learns she is to marry Ramsay Bolton. She initially refuses but Littlefinger convinces her that it's all part of a much greater plan. In Braavos, Arya has now entered the House of Black and White, a dark and somewhat unpleasant place. She learns from Jaqen H'ghar that as a first step, she must rid herself of all personal possessions. Tyrion and Varys arrive in Volantis where Tyrion, already fed up with traveling, heads straight to a brothel where he is recognized. In King's Landing, Tommen and Margaery are married and the young king is enjoying the pleasures of married life. Also, the High Septon is ridiculed when the Sparrows find him in Littlefinger's brothel and march him down the street stark naked. The Septon demands that Cersei does something about these outrageous acts and she decides to visit the man commonly referred to as the High Sparrow. At the Wall, the new commander hands out the assignments but one of ...","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Kit Harington', 'Aidan Gillen', 'Natalie Dormer', 'Stephen Dillane', 'Liam Cunningham', 'Conleth Hill', 'Alfie Allen', 'Sophie Turner', 'Maisie Williams', 'John Bradley', 'Gwendoline Christie', 'Dean-Charles Chapman', 'Tom Wlaschiha']","['Tyrion Lannister', 'Cersei Lannister', 'Jon Snow', ""Petyr 'Littlefinger' Baelish"", 'Margaery Tyrell', 'Stannis Baratheon', 'Davos Seaworth', 'Lord Varys', 'Theon Greyjoy', 'Sansa Stark', 'Arya Stark', 'Samwell Tarly', 'Brienne of Tarth', 'Tommen Baratheon', ""Jaqen H'ghar""]"
43,Sons of the Harpy,['Mark Mylod'],8.7,Episode aired 3 May 2015,Season 5,Episode 4,"Jorah Mormont steals a boat to navigate with his captive, Tyrion. Aboard a merchant ship, Jaime and Bronn sail to Dorne to rescue Myrcella. The Iron Bank is charging their loan and Cersei sends a representative of the Small Council to negotiate with the bankers. She then has a meeting with the High Sparrow and gives an army and power to his followers to neutralize the capital's sinners, including the patrons of Littlefinger's brothel, and Ser Loras Tyrell, the brother of Margaery. Tommen and his Kingsguard are stared down by the Faith Militant, and the king refuses to fight his way to the Tyrell knight. The disappointed Margaery leaves his side to stay with her family. Stannis Baratheon plans to head to Winterfell before the snow. Jon Snow is summoning nobles to help the Night's Watch with men and supplies and he has a dilemma with the name of the Bolton family. Melisandre tries to seduce Jon Snow, but he resists the temptation and does not break his vows. Shireen, restless at Castle ...","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Aidan Gillen', 'Natalie Dormer', 'Stephen Dillane', 'Carice van Houten', 'Indira Varma', 'John Bradley', 'Sophie Turner', 'Jerome Flynn', 'Michiel Huisman', 'Nathalie Emmanuel']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', ""Petyr 'Littlefinger' Baelish"", 'Margaery Tyrell', 'Stannis Baratheon', 'Melisandre', 'Ellaria Sand', 'Samwell Tarly', 'Sansa Stark', 'Bronn', 'Daario Naharis', 'Missandei']"
44,Kill the Boy,['Jeremy Podeswa'],8.6,Episode aired 10 May 2015,Season 5,Episode 5,"In Meereen, Daenerys has to decide how to deal with the former masters after the death of Ser Barristan Selmy and the injuries inflicted on Grey Worm. She decides to round up the heads of the 13 richest families in the city and introduce them to her dragons. Jorah Mormont and Tyrion Lannister approach the ancient city of Valyria and, after witnessing something quite incredible, they are set upon by the Stone Men, and Mormont does not escape unscathed. Sansa finally sees what has become of Theon, courtesy of Ramsay Bolton's jealous mistress. Ramsay is particularly cruel to Theon at a dinner, much to Roose Bolton's displeasure. At Castle Black, Jon Snow tries to convince Tormund Giantsbane to move his people south of the Wall and settle in lands that will be made available to them. Most of the men of the Watch object to the plan.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Emilia Clarke', 'Kit Harington', 'Stephen Dillane', 'Liam Cunningham', 'Carice van Houten', 'Alfie Allen', 'John Bradley', 'Sophie Turner', 'Hannah Murray', 'Michiel Huisman', 'Nathalie Emmanuel', 'Gwendoline Christie', 'Kristofer Hivju', 'Michael McElhatton']","['Tyrion Lannister', 'Daenerys Targaryen', 'Jon Snow', 'Stannis Baratheon', 'Davos Seaworth', 'Melisandre', 'Theon Greyjoy', 'Samwell Tarly', 'Sansa Stark', 'Gilly', 'Daario Naharis', 'Missandei', 'Brienne of Tarth', 'Tormund Giantsbane', 'Roose Bolton']"
45,"Unbowed, Unbent, Unbroken",['Jeremy Podeswa'],8.0,Episode aired 17 May 2015,Season 5,Episode 6,"Arya is tested by Jaqen H'ghar in the House of Black and White and he tells that she is ready to become someone else. Tyrion and Jorah have a conversation about Daenerys and Jorah's father and how he was murdered by his own men; out of the blue, they are captured by pirates and turned into slaves. Little Finger stumbles with Lancel in King's Landing and has a meeting with Cersei and he plots against Stannis Baratheon and the Bolton. Jamie and Bronn are riding in Dornes and they meet Myrcella; however they need to fight against the Sand Snakes. Lady Olenna meets with Cersei to discuss the future of Loras Tyrell. He is judged by the High Sparrow and Margaery Tyrell is involved and arrested with her brother to a formal trial. Sansa marries Ramsay Bolton and he humiliates her.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Aidan Gillen', 'Natalie Dormer', 'Indira Varma', 'Maisie Williams', 'Sophie Turner', 'Jerome Flynn', 'Alfie Allen', 'Michael McElhatton', 'Iwan Rheon', 'Tom Wlaschiha', 'Dean-Charles Chapman', 'Iain Glen']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', ""Petyr 'Littlefinger' Baelish"", 'Margaery Tyrell', 'Ellaria Sand', 'Arya Stark', 'Sansa Stark', 'Bronn', 'Theon Greyjoy', 'Roose Bolton', 'Ramsay Bolton', ""Jaqen H'ghar"", 'Tommen Baratheon', 'Jorah Mormont']"
46,The Gift,['Miguel Sapochnik'],9.0,Episode aired 24 May 2015,Season 5,Episode 7,"At Castle Black, Jon Snow, Tormund Giantsbane and a few Rangers head north of the Wall. Master Aemon has reached the end of his days and Sam gets a warning. Stannis and his army face the ravages of winter and Ser Davos recommends they return to Castle Black. At Winterfell, Sansa begs a terrified Theon to help her escape but he proves an inadequate ally. Tyrion and Ser Jorah are sold at a slave market. In Meereen, Daenerys gets unexpected advice from Daario. In King's Landing, Lady Olenna calls on the High Sparrow to seek her grandchildren's release but gets no satisfaction. She may have found an ally. A gloating Cersei visits Margaery in the cells below the Red Keep but the High Septon has a surprise for her. In Dorne, Jaime sees Myrcella who makes it clear that she considers Dorne her home and that she has no intention of leaving.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Aidan Gillen', 'Natalie Dormer', 'Stephen Dillane', 'Liam Cunningham', 'Carice van Houten', 'John Bradley', 'Kristofer Hivju', 'Hannah Murray', 'Dean-Charles Chapman', 'Alfie Allen']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', ""Petyr 'Littlefinger' Baelish"", 'Margaery Tyrell', 'Stannis Baratheon', 'Davos Seaworth', 'Melisandre', 'Samwell Tarly', 'Tormund Giantsbane', 'Gilly', 'Tommen Baratheon', 'Theon Greyjoy']"
47,Hardhome,['Miguel Sapochnik'],9.9,Episode aired 31 May 2015,Season 5,Episode 8,"In Braavos, Arya is learning slowly and is regularly tested. She poses as an oyster seller and is assigned a specific task. In Meereen, Daenerys sits in judgment on Ser Jorah and Tyrion. While Jorah is again banished, Tyrion soon becomes her advisor. In Winterfell, Sansa learns something important from Theon. Roose Bolton meanwhile awaits Stannis' arrival but Ramsay disagrees with his approach.In King's Landing, Cersei learns from Qyburn that the High Sparrow has a strong case against her and recommends a way out for her. At Castle Black, Sam recovers from his wounds. Jon Snow and Tormund Giantsbane arrive at their destination north of the Wall. While some of them accept the offer of land in the south, many do not. Before they can leave however, the army of walkers arrive.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Sophie Turner', 'Maisie Williams', 'John Bradley', 'Hannah Murray', 'Kristofer Hivju', 'Alfie Allen', 'Nathalie Emmanuel', 'Tom Wlaschiha', 'Michael McElhatton', 'Iwan Rheon', 'Iain Glen']","['Tyrion Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', 'Sansa Stark', 'Arya Stark', 'Samwell Tarly', 'Gilly', 'Tormund Giantsbane', 'Theon Greyjoy', 'Missandei', ""Jaqen H'ghar"", 'Roose Bolton', 'Ramsay Bolton', 'Jorah Mormont']"
48,The Dance of Dragons,['David Nutter'],9.5,Episode aired 7 June 2015,Season 5,Episode 9,"Things are not going well for Stannis and his army. Winter is upon them and they are attacked in the night losing most of their stores. Unable to move forward or back, he dispatches Ser Davos Seaworth to seek help from Castle Black. Jon Snow and the survivors of the attack at Hardhome make it safely back to the wall but the reception they get is anything but warm. In Dorne, Doran Martell takes the diplomatic route telling Jaime that Myrcella can return to King's Landing with him provided certain conditions were met. In Braavos, Arya sees Lord Tyrell who arrives to speak to representatives of the Iron Bank. He's accompanied by Meryn Trant, one of the men on her list. In Meereen, the Great Games begin but the needless killing is not to Daenarys or Tyrion's liking. Ser Jorah defeats his opponents in the arena but a trap is sprung and the Sons of the Harpy attack. Rescue is at hand however.","[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Emilia Clarke', 'Kit Harington', 'Stephen Dillane', 'Liam Cunningham', 'Carice van Houten', 'Indira Varma', 'Maisie Williams', 'Jerome Flynn', 'John Bradley', 'Kristofer Hivju', 'Tom Wlaschiha', 'Michiel Huisman', 'Nathalie Emmanuel']","['Tyrion Lannister', 'Jaime Lannister', 'Daenerys Targaryen', 'Jon Snow', 'Stannis Baratheon', 'Davos Seaworth', 'Melisandre', 'Ellaria Sand', 'Arya Stark', 'Bronn', 'Samwell Tarly', 'Tormund Giantsbane', ""Jaqen H'ghar"", 'Daario Naharis', 'Missandei']"
49,Mother's Mercy,['David Nutter'],9.1,Episode aired 14 June 2015,Season 5,Episode 10,Stannis attacks Winterfell. Sansa and Theon find themselves on a difficult situation. Arya challenges the many face god. Daenerys is surrounded by acquaintances. Jaime and Myrcella leave Dorne. Cersei confesses. Sam goes to oldtown to become the new maester. Jon receives news about his uncle Benjen.,"[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']","['Peter Dinklage', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Emilia Clarke', 'Kit Harington', 'Stephen Dillane', 'Liam Cunningham', 'Carice van Houten', 'Indira Varma', 'Maisie Williams', 'Sophie Turner', 'John Bradley', 'Hannah Murray', 'Nathalie Emmanuel', 'Michiel Huisman']","['Tyrion Lannister', 'Jaime Lannister', 'Cersei Lannister', 'Daenerys Targaryen', 'Jon Snow', 'Stannis Baratheon', 'Davos Seaworth', 'Melisandre', 'Ellaria Sand', 'Arya Stark', 'Sansa Stark', 'Samwell Tarly', 'Gilly', 'Missandei', 'Daario Naharis']"
